706	924
712	907
722	893
741	887
753	882
765	868
775	864
784	854
797	842
807	829
816	813
823	796
832	783
825	767
819	753
806	739
814	725
834	726
840	738
847	750
864	766
870	778
887	792
894	803
908	811
934	825
950	827
982	827
1001	825
1029	823
1045	820
1063	821
1068	830
1070	839
1056	842
1043	841
1029	841
1023	846
996	851
982	853
971	857
962	861
949	872
938	885
923	921
905	947
905	962
903	980
891	1004
881	1017
866	1024
860	1037
842	1040
823	1051
806	1049
790	1036
783	1021
775	1014
765	1006
756	1000
754	989
735	974
722	964
711	951
700	943
