817	712
835	731
856	760
869	775
884	792
908	806
933	821
959	822
986	825
1017	826
1042	818
1057	821
1063	827
1064	841
1052	845
1024	844
999	845
981	847
963	854
950	863
937	870
925	899
919	917
909	925
904	944
904	957
903	972
900	985
892	999
881	1004
874	1012
866	1025
852	1031
845	1041
820	1051
804	1052
788	1050
779	1038
769	1025
769	1015
756	1009
750	997
745	985
736	980
726	966
715	958
704	947
701	940
700	926
714	903
725	893
748	876
771	858
785	849
794	841
805	832
809	821
820	802
825	792
830	781
824	762
816	746
808	727
803	712
802	697
