756	842
736	838
732	806
748	766
784	744
816	716
816	668
810	636
808	612
830	630
846	670
848	698
860	722
892	744
928	770
964	798
990	814
1020	828
1058	850
1072	864
1062	890
1050	902
1026	904
1008	896
962	878
942	852
934	836
902	832
880	830
866	816
846	802
810	802
782	826

990	582
1024	576
1038	584
1058	592
1080	620
1092	648
1108	668
1126	686
1134	702
1130	722
1116	738
1096	720
1082	686
1062	674
1048	650
1040	634
1010	622
988	612
970	586

684	1024
690	1064
702	1086
716	1098
724	1126
736	1146
766	1162
788	1174
806	1186
818	1198
828	1218
834	1248
848	1278
864	1302
882	1304
858	1282
850	1250
850	1240
842	1216
832	1194
818	1178
784	1168
770	1146
744	1132
742	1112
730	1076
734	1060
726	1022
712	1010
692	986
684	998

