662	741
678	737
690	745
709	753
730	767
741	765
749	755
765	750
779	744
799	740
822	733
823	708
826	699
843	690
857	695
857	686
861	673
863	657
862	636
867	612
868	604
875	595
882	590
892	591
898	603
902	615
898	619
898	621
894	630
896	660
897	673
899	698
908	717
922	731
936	738
951	747
974	757
1005	764
1025	769
1038	781
1048	795
1043	813
1020	830
1005	842
984	857
960	873
955	892
953	896
939	886
923	878
900	878
882	878
869	878
849	878
834	879
809	889
794	890
770	890
759	886
746	879
740	873
737	867
734	856
734	845
727	830
717	819
712	805
701	794
687	785
679	775
670	764
663	757
