836	466
784	484
762	494
748	516
756	568
774	598
778	626
776	678
776	710
768	744
742	760
698	764
636	772
598	784
578	792
568	802
580	830
596	846
612	862
628	852
652	842
676	850
710	852
728	852
754	850
792	828
812	820
834	816
848	808
840	788
824	766
808	746
810	714
808	690
804	656
804	630
812	602
818	590
830	568
848	548
858	524
864	488
846	470

542	974
516	984
520	1006
512	1038
504	1054
506	1066
524	1070
542	1056
552	1042
558	1020
564	980

946	816
968	822
996	824
1016	826
1038	836
1024	862
1002	884
986	886
966	866
954	850
938	832
928	822

