464	304
456	338
446	364
424	390
428	434
440	480
450	524
438	540
448	576
440	592
382	600
442	608
478	600
506	608
530	632
550	676
560	728
564	770
554	794
530	832
500	854
472	880
438	894
436	914
446	930
468	930
494	920
524	916
542	910
558	920
586	932
612	952
628	966
652	992
660	1016
668	1036
678	1048
714	1018
742	996
766	976
792	962
820	948
844	940
868	938
912	950
930	966
948	986
952	1010
952	1028
976	1030
986	1010
988	984
996	964
998	954
1012	918
1022	898
1032	882
1058	876
1084	876
1108	862
1144	868
1176	866
1212	858
1230	856
1266	886
1248	862
1244	848
1248	826
1242	804
1222	796
1204	780
1196	766
1204	750
1224	742
1250	736
1258	716
1238	696
1218	680
1222	664
1238	654
1274	654
1300	640
1316	624
1344	620
1368	610
1406	602
1434	594
1454	580
1454	570
1412	572
1376	578
1334	586
1296	596
1270	612
1228	626
1196	628
1174	628
1150	632
1110	620
1082	616
1048	606
1032	596
1012	584
992	552
964	520
940	488
924	458
890	438
852	424
844	418
822	394
812	360
794	352
758	374
742	388
712	390
692	392
672	382
638	356
614	342
604	338
578	326
564	324
560	334
540	322
524	316
480	304
