817	625
818	662
817	714
768	764
742	788
738	818
741	833
756	841
778	828
804	810
832	805
860	814
898	828
924	836
938	841
962	860
986	878
1012	897
1034	902
1052	904
1058	888
1060	868
1049	849
1038	836
1013	826
992	822
964	806
940	789
922	790
909	766
882	753
870	746
856	713
842	674
825	634

969	585
992	589
1021	584
1037	584
1056	594
1065	608
1074	637
1081	656
1097	672
1118	697
1112	732
1101	721
1076	693
1065	681
1053	661
1045	644
1034	622
1016	621
992	612

696	986
680	1005
688	1038
685	1070
705	1096
710	1118
726	1136
758	1165
781	1177
813	1196
826	1229
833	1265
845	1284
852	1280
854	1249
845	1218
832	1193
814	1177
793	1162
768	1149
750	1133
740	1114
734	1093
733	1069
744	1046
724	1024
706	1006
